Indicator,Country,ISO3,Land_Type,Season,Date,Data,Year,Month,Dekad,Unit,Source
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2020-01-01,12.988,2020,1,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2020-01-11,9.861,2020,1,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2020-01-21,12.483,2020,1,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2020-02-01,10.25,2020,2,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2020-02-11,11.649,2020,2,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2020-02-21,11.684,2020,2,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2020-03-01,14.311,2020,3,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2020-03-11,8.787,2020,3,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2020-03-21,21.405,2020,3,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2020-04-01,14.003,2020,4,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2020-04-11,5.151,2020,4,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2020-04-21,3.469,2020,4,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),VNM,Viet Nam,Crop Area,Season 1,2020-05-01,7.483,2020,5,1, % of area with Mean VHI below 35 ,FAO-ASIS
